Ministry/Entity;Buyer;Project Code;Code Nom;State Nom;Organisation;PerimGeo;Region;Date ;Duration;Montant prévisionnel HT (toutes périodes de reconduction incluses);Execution %;Exceution date
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;ABONNEMENTS ET ACHATS PONCTUELS DE PUBLICATION AERONAUTIQUES ET ACCESSOIRES PILOTES;41.01.02;Presse d'information spécialisée et technique;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T2;36;entre 1 MEuros et 10 MEuros;75%;20/6/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;NETTOYAGE VITRERIE DE HUIT SITES DE LA GARNISON DE BORDEAUX;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T3;48;entre 1 MEuros et 10 MEuros;46%;16/9/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;BLANCHISSAGE ET NETTOYAGE DES ARTICLES D'HABILLEMENT COUCHAGE CAMPEMENT AMEUBLEMENT - 3 LOTS;41.05.08;Services de blanchisserie (traditionnelle et industrielle);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T4;48;entre 100 KEuros et 1 MEuros;48%;10/12/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;ENTRETIEN DES ESPACES VERTS DGA - 2 LOTS;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2021T2;48;entre 100 KEuros et 1 MEuros;51%;4/4/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;LOCATION AVEC MAINTENANCE DE SYTEMES D'IMPRESSION ET DE REPRODUCTION MONOCHROMES ET POLYCHROMES AU PROFIT D'ENTITES DU MINARM DANS LES DEPT 17, 40 ET 79 - 3 LOTS;39.01.04;Maint copieur, mat multifnc, scan, fax (répar. cons encrage);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T3;36;entre 100 KEuros et 1 MEuros;82%;15/7/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;PRESTATION DE PLONGE, NETTOYAGE DU LOCAL DE PLONGE CERCLE MIXTE MONT DE MARSAN;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T4;34;entre 100 KEuros et 1 MEuros;22%;11/11/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;PRESTATION DE BLANCHISSAGE ET DE NETTOYAGE A SEC DES ARTICLES D'HABILLEMENT;41.05.08;Services de blanchisserie (traditionnelle et industrielle);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T1;33;entre 100 KEuros et 1 MEuros;25%;15/2/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;BLANCHISSAGE ET NETTOYAGE A SEC - 2 LOTS;41.05.08;Services de blanchisserie (traditionnelle et industrielle);Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T1;48;entre 100 KEuros et 1 MEuros;73%;14/2/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;ENTRETIEN DES ESPACES VERTS DES ZONES AERONAUTIQUES;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T3;39;entre 100 KEuros et 1 MEuros;54%;20/8/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;ENTRETIEN DES ESPACES VERTS LOT 3;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2020T1;34;entre 100 KEuros et 1 MEuros;49%;4/2/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Sud Ouest;ENTRETIEN DES ESPACES VERTS AU PROFIT DU GRAND TOULOUSE LOT 1;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NOUVELLE AQUITAINE;2019T2;48;entre 100 KEuros et 1 MEuros;66%;16/6/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;SERVICES DE REPARATION ET D'ENTRETIEN DE MACHINES.;37.02.10;Maintenance équipements industriels;Ministériel;Régional ou infra;PAYS DE LA LOIRE;2019T4;48;entre 100 KEuros et 1 MEuros;57%;18/12/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;SERVICES DE NETTOYAGE.;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;PAYS DE LA LOIRE;2019T1;48;entre 100 KEuros et 1 MEuros;48%;7/2/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;EQUIPEMENT DE CUISINE, ARTICLES DE MAISON , ARTICLES MENAGERS ET FOURNITURES DE RESTAURATION.;41.04.06;Matériel de restauration collective;Ministériel;Régional ou infra;NORMANDIE;2020T4;48;entre 100 KEuros et 1 MEuros;39%;24/11/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;SERVICES D'HYGIENISATION D'INSTALLATIONS.;37.01.06;Dératisation, désinfection, désinsectisation;Ministériel;Régional ou infra;PAYS DE LA LOIRE;2020T2;48;entre 100 KEuros et 1 MEuros;73%;21/6/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;SERVICES DE REPARATION DE VETEMENTS ET D'ARTICLES TEXTILES.;41.05.07;Location maintenance vêtements et EPI;Ministériel;Régional ou infra;BRETAGNE;2021T1;48;entre 100 KEuros et 1 MEuros;81%;16/1/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Centre Ouest;REALISATION ET ENTRETIEN D'ESPACES VERTS.;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;BRETAGNE;2021T3;48;entre 100 KEuros et 1 MEuros;21%;6/7/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;NETTOYAGE LOCAUX-GS VCN;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;ILE DE France;2021T2;48;entre 1 MEuros et 10 MEuros;95%;27/4/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;NETTOYAGE LOCAUX-GS VLY;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;ILE DE France;2021T2;48;entre 1 MEuros et 10 MEuros;64%;22/6/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;Approvisionnement en fourniture de produits et denrées alimentaires, produits secs;41.04.03;Épicerie et produits surgelés;Ministériel;Régional ou infra;ILE DE France;2019T3;48;entre 100 KEuros et 1 MEuros;60%;19/8/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;TENUES DE GARDIENS CIVILS;41.05.06;Vêtements de travail divers (prêt à porter);Ministériel;Régional ou infra;ILE DE France;2019T2;48;entre 100 KEuros et 1 MEuros;86%;18/4/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;Fournitures de pains et viennoiseries;41.04.03;Épicerie et produits surgelés;Ministériel;Régional ou infra;ILE DE France;2019T3;48;entre 100 KEuros et 1 MEuros;32%;13/7/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;DERATISATION ET DESINSECTISATION;37.01.06;Dératisation, désinfection, désinsectisation;Ministériel;Régional ou infra;ILE DE France;2021T4;48;entre 100 KEuros et 1 MEuros;17%;10/10/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;BLANCHISSAGE ET NETTOYAGE A SEC;41.05.08;Services de blanchisserie (traditionnelle et industrielle);Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2021T4;48;entre 100 KEuros et 1 MEuros;45%;3/12/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;LOCATION ET INSTALLATION DE DIVERS MATERIELS CFT ET CRR FR;36.05.02;Matériel et équipement de chantier;Ministériel;Régional ou infra;HAUTS DE France;2020T1;48;entre 100 KEuros et 1 MEuros;24%;21/1/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;NETTOYAGE LOCAUX-ORGANISMES VERSAILLES;37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;ILE DE France;2019T1;48;entre 1 MEuros et 10 MEuros;34%;27/2/2019
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;ENTRETIEN DES ESPACES VERTS_EVX (CNMO TSR - BA 105 - DEP. MUN. SASSEY - M. ARM. - HERBOUVILLE à ROUEN - ST. HRTZ LE-THUIT-DE-L'OISON;37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;NORMANDIE;2020T4;26;entre 100 KEuros et 1 MEuros;22%;4/11/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;ESPACES VERTS - MHY (Ilôt Brétigny - ELOCA - TE MHY);37.01.03;Entretien espaces verts et extérieurs;Ministériel;Régional ou infra;ILE DE France;2020T1;21;entre 1 MEuros et 10 MEuros;83%;22/2/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;MS DECHETS BANALS_MLY;41.06.01;Collect, traitement déchet non dang, yc déchets indus banals;Ministériel;Régional ou infra;ILE DE France;2020T2;33;entre 100 KEuros et 1 MEuros;75%;1/4/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ile-de France;MS COLLECTE BIO-DECHETS MLY;41.06.01;Collect, traitement déchet non dang, yc déchets indus banals;Ministériel;Régional ou infra;ILE DE France;2020T2;33;entre 100 KEuros et 1 MEuros;70%;18/6/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ouest;ÉQUIPEMENT, MATERIEL DE LABORATOIRE ET DE MESURE;41.07.02;Équipement, matériel de laboratoire et de mesure;Ministériel;Régional ou infra;BRETAGNE;2020T4;48;entre 100 KEuros et 1 MEuros;88%;28/10/2020
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ouest;COLLECT, TRAITEMENT DECHET NON DANG, YC DECHETS INDUS BANALS;41.06.01;Collect, traitement déchet non dang, yc déchets indus banals;Ministériel;Régional ou infra;BRETAGNE;2021T2;48;entre 100 KEuros et 1 MEuros;98%;2/6/2021
Ministère des Armées;Service du commissariat des armées / Plateforme Achats - finances Ouest;NETTOYAGE COURANT (BUREAU, HOTELLERIE, PLONGE);37.01.01;Nettoyage courant (bureau, hôtellerie, plonge);Ministériel;Régional ou infra;BRETAGNE;2021T3;48;entre 100 KEuros et 1 MEuros;66%;18/7/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Brest;BNB - Modernisation des moyens de production et de distribution d'air comprimé basse pression et de production d'eau déminéralisée;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministériel;Régional ou infra;BRETAGNE;2018T4;12;entre 100 KEuros et 1 MEuros;92%;17/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Brest;Port militaire de Brest - remise à niveau de la station de pompage B4/B7;36.02.04;Travaux de mise aux normes bâtiment;Ministériel;Régional ou infra;BRETAGNE;2019T3;12;entre 1 MEuros et 10 MEuros;13%;6/9/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Brest;Remplacement de la station d'épuration compris réhabilitation des réseaux;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;BRETAGNE;2019T3;12;entre 1 MEuros et 10 MEuros;48%;27/8/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Brest;Schéma directeur Brest Port 2025 :      Pôle SLM ( fonction rechanges ) : Adaptation de COAT-TY-OGAN;36.05.02;Matériel et équipement de chantier;Ministériel;Régional ou infra;BRETAGNE;2019T3;12;entre 100 KEuros et 1 MEuros;84%;19/9/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Brest;SLM - Création d'une zone contrôlée CRABE;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministériel;Régional ou infra;BRETAGNE;2018T4;12;entre 1 MEuros et 10 MEuros;42%;13/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;KREMILIN BICETRE - PN471 - Réhabilitation du bâtiment 016;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;ILE DE France;2020T2;12;entre 1 MEuros et 10 MEuros;99%;21/6/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;Fort du Mont Valérien - B027 - Reprise étanchéité clos et couvert;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;ILE DE France;2019T2;6;entre 100 KEuros et 1 MEuros;47%;14/5/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;CLMART - HIA PERCY - Bâtiments 001 002 003 - Aménagement de chambres pour cadres au 3ème étage reprise huisserie et facade;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;ILE DE France;2021T1;12;entre 1 MEuros et 10 MEuros;64%;18/2/2021
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;SAINT CYR LECOLE - Lycée Militaire - Rénovation de l'antenne de St Cyr l'école;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;ILE DE France;2019T4;12;entre 1 MEuros et 10 MEuros;51%;7/10/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;USID VLY - Maintenance préventive et corrective de niveau 2 à 4 des installations technique de détection et de protection incendie;37.02.08;Maintenance instal système de sécurité incendie (SSI);Ministériel;Régional ou infra;ILE DE France;2019T3;48;entre 100 KEuros et 1 MEuros;36%;17/9/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense Ile-de-France;USID VRS - Marché d'exploitation et de maintenance multitechnique du patrimoine immobilier, bati et non bati, du ministère des armées à Versailles (78);37.05.02;Contrat de maintenance multitechniques;Ministériel;Régional ou infra;ILE DE France;2019T2;48;entre 1 MEuros et 10 MEuros;84%;21/4/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;2015NN179 - Base de Défense Angers - Le Mans - Saumur (49) - MBC pour l'exécution de travaux d'entretien, de réparation, d'adaptation, de modernisation et de transformations concernant les ouvrages et bâtiments militaires : TOITURE - Lot n°1 : Pôle Angevin;37.03.05;Petits travaux de couverture étanchéité;Ministériel;Régional ou infra;PAYS DE LA LOIRE;2019T4;48;entre 1 MEuros et 10 MEuros;14%;13/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;14NN145 - CHERBOURG (50) - Marché à bons de commande pour des travaux de voiries et réseaux divers;37.02.09;Maintenance de voierie et réseaux divers (VRD), hors route;Ministériel;Régional ou infra;NORMANDIE;2018T4;48;entre 1 MEuros et 10 MEuros;53%;23/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN082 - EVREUX (28) - DGA TH - Travaux d'entretien des couvertures et toitures terrasses de l'ensemble des bâtiments;37.03.05;Petits travaux de couverture étanchéité;Ministériel;Régional ou infra;NORMANDIE;2019T3;48;entre 100 KEuros et 1 MEuros;45%;9/7/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;Vernon (27) - CNMO TSR - Réfection protection défense - Programme TRANSAERO Lot 1 : Construction PC Sécurité et aménagement des voies d'accès Lot 2 : Clôture;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;NORMANDIE;2018T4;12;entre 10 MEuros et 100 MEuros;52%;14/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;CAEN (14) quartier KOENIG-aménagement des locaux techniques pour le programme DESCARTES;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;NORMANDIE;2018T4;12;entre 100 KEuros et 1 MEuros;80%;20/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;Cherbourg (50) sécurisation de la caserne batiments des marins-pompiers - tranche 3;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;NORMANDIE;2018T4;12;entre 100 KEuros et 1 MEuros;51%;3/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;EVREUX (27) - BA105 - TRAVAUX DE VRD;36.03.01;Tvx constr infra transports, routes (yc tvx préalables);Ministériel;Régional ou infra;NORMANDIE;2018T4;12;entre 100 KEuros et 1 MEuros;82%;15/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN041 - BOURGES (18) - Exécution de diagnostics sommaires préalables et de chantiers de dépollution pyrotechnique;36.04.01;Prestation d'assistance à maîtrise d'ouvrage (AMOA);Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2019T3;48;entre 1 MEuros et 10 MEuros;82%;21/8/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN056 - Travaux d'entretien de serrurerie, de métallerie acier et aluminium et de vitrerie - Lot n° 1 - DGA TT à Bourges (18), Centre de Formation de la Défense à Bourges (18);37.03.01;Petits travaux de métallerie et serrurerie;Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2019T3;48;entre 100 KEuros et 1 MEuros;77%;5/7/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;15NN131 - BOURGES-AVORD – Travaux d’entretien et d’aménagement de menuiseries bois-PVC-ALU de cloisons sèches, de faux-plafonds, de parquets, de stores – volets roulants - rideaux - Lot n°4 : 12° BSMAT à Neuvy-Pailloux (36) - CTM Rosnay (36);37.03.02;Petit travaux de menuiserie (bois, aluminium, PVC);Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2019T4;48;entre 100 KEuros et 1 MEuros;24%;6/11/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;Bourges (18) - DGA/TT - rénovation et aménagement de 2 bâtiments techniques (position d'essais moyens calibres) - travaux;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2018T4;7;entre 100 KEuros et 1 MEuros;40%;23/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;Cinq Mars La Pile (37) – Camp Mailloux – Rénovation des couvertures et anitaires des bâtiments 010 et 014;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;CENTRE VAL DE LOIRE;2018T4;8;entre 100 KEuros et 1 MEuros;54%;11/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;14NN164 - BRUZ (35) - DGA MI - Maintien en condition opérationnelle des installations et des dispositifs de protection de sécurité;37.02.08;Maintenance instal système de sécurité incendie (SSI);Ministériel;Régional ou infra;BRETAGNE;2018T4;48;entre 100 KEuros et 1 MEuros;31%;3/12/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Rennes;Vannes (56) - 3° RIMa - Programme SCORPION Travaux de réhabilitation d'infrastructures relatif à l'accueil de 29 VBMR;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;BRETAGNE;2018T4;12;entre 1 MEuros et 10 MEuros;83%;6/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;444924 - LAUDUN - 1ER REG - Stockage équipements FELIN;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2019T4;12;entre 100 KEuros et 1 MEuros;94%;16/12/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;442083 - ISTRES - BA125 - Regroupement PC-L PC feu;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T3;12;entre 1 MEuros et 10 MEuros;25%;17/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;442637 - SALON DE PROVENCE - BA701 - Rénovation du HM13 pour accueil de l'ESIS (regroupement ESIS / ARTA). Déménagement de l'ESIS en zone aéronautique sur la BA 701;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T4;12;entre 100 KEuros et 1 MEuros;24%;22/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;NON CREE - SALON DE PROVENCE - BA 701 - Rénovation intérieure du bât. des élèves;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T4;12;entre 100 KEuros et 1 MEuros;20%;3/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;443055 - 018 AC MARSEILLE 1 RE - CPLEM 003 LA MALMOUSQUE Réhab 6 chbres dont 3 PMR - NTO inf 500/2018;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2018T4;12;entre 100 KEuros et 1 MEuros;35%;6/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;444539 - 015 ML ISTRES DGA/EV - Rénovation du réseau HTA - P723;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2018T4;12;entre 100 KEuros et 1 MEuros;28%;22/10/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;ISTRES (13) - DGA-EV site d'Istres - Rénovation des réseaux d'adduction d'eau potable (AEP), d'incendie d'eaux usées (EU), d'eaux pluviales (EP), la création de bassins d'orage et d'une réserve incendie, rénovation de parkings LOT 2 : construction d'un bâtiment pour la station de surpression;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;PACA;2020T2;48;entre 100 KEuros et 1 MEuros;88%;8/5/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;VAUCLUSE (84) - tous sites - tous bâtiments - entretien et maintenance du système de détection et d'extinction sécurité incendie (D.E.I) et désenfumage;37.02.08;Maintenance instal système de sécurité incendie (SSI);Ministériel;Régional ou infra;PACA;2020T3;48;entre 100 KEuros et 1 MEuros;51%;24/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;443449 - ST CHRISTOL - CASERNE MARECHAL KOENIG - 2eme REG - Rénovation/construction CMA;36.02.02;Travaux de rénovation bâtiment (yc bâtiments historiques);Ministériel;Régional ou infra;OCCITANIE;2020T1;12;entre 1 MEuros et 10 MEuros;50%;28/3/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;445033 - VILLEFLOURE - Champ de manœuvre et tir de VILLEMAURY - Création BICUB;36.02.01;Travaux construction bâtiment neuf;Ministériel;Régional ou infra;OCCITANIE;2020T3;12;entre 100 KEuros et 1 MEuros;15%;11/9/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;440605 - BASTIA - Caserne St Joseph - Rénovation des réseaux EU, EP et voiries;36.03.02;Tvx réhabilitation infra transports, routes (yc revêtement);Ministériel;Régional ou infra;CORSE;2020T4;12;entre 100 KEuros et 1 MEuros;59%;10/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'éxécution de travaux d'entretien et d'adaptation tous corps d'état BDD CALVI LOT 7 : plomberie-chauffage-ventilation;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;CORSE;2020T3;48;entre 100 KEuros et 1 MEuros;87%;26/7/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;Fourniture de matériels et matériaux pour bâtiments à destination des emprises relevant du périmètre de compétence de l'ESID de LYON lot 2: plomberie sanitaire, CVC;36.05.05;Matériel chauffage et plomberie;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2018T4;48;entre 1 MEuros et 10 MEuros;21%;18/11/2018
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;Fourniture de matériels et matériaux pour bâtiments à destination des emprises relevant du périmètre de compétence de l'ESID de LYON lot 3: électricité;36.05.06;Matériel et petit équipement électrique;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2019T1;48;entre 1 MEuros et 10 MEuros;77%;26/2/2019
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptation tous corps d'état BDD LVB - Sites et immeubles situés dans le département de l'AIN LOT 5 : Revêtement de sols et murs, carrelages et faïence;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T1;48;entre 100 KEuros et 1 MEuros;46%;18/2/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de l'isère LOT 4 : peinture;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T4;48;entre 100 KEuros et 1 MEuros;49%;21/10/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de l'isère LOT 5 : revêtement de sols et murs - carrelages et faïence;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T4;48;entre 100 KEuros et 1 MEuros;91%;1/11/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de l'isère LOT 6 : étanchéité - charpente - couverture;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T4;48;entre 1 MEuros et 10 MEuros;41%;1/12/2020
Ministère des Armées;Service d'infrastructure de la défense / Etablissement du service d'insfrastructure de la défense de Lyon;MBC pour l'exécution de travaux d'entretien et d'adaptations mineurs tous corps d'état - BDD GAC - département de la SAVOIE LOT 7 : plomberie - chauffage - ventilation - climatisation;36.02.03;Travaux de réhabilitation bâtiment;Ministériel;Régional ou infra;AUVERGNE RHONE ALPES;2020T3;48;entre 1 MEuros et 10 MEuros;34%;28/9/2020
